date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ad7.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/set-tui-xach)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ad8.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/tui-deo-cheo)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ad9.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/tui-deo-vai)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ada.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/tui-xach-da)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1adb.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/tui-xach-thoi-trang)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1adc.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=best-selling/vi-cam-tay)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1add.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/sendo)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ade.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/set-tui-xach)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1adf.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/tui-deo-cheo)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae0.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/tui-deo-vai)
00:48:05	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae1.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/tui-xach-da)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae2.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/tui-xach-thoi-trang)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae3.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-asc/vi-cam-tay)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae4.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/sendo)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae5.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/set-tui-xach)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae6.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/tui-deo-cheo)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae7.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/tui-deo-vai)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae8.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/tui-xach-da)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1ae9.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/tui-xach-thoi-trang)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aea.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=alpha-desc/vi-cam-tay)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aeb.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/sendo)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aec.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/set-tui-xach)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aed.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/tui-deo-cheo)
00:48:06	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aee.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/tui-deo-vai)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1aef.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/tui-xach-da)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af0.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/tui-xach-thoi-trang)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af1.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-asc/vi-cam-tay)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af2.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/sendo)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af3.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/set-tui-xach)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af4.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/tui-deo-cheo)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af5.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/tui-deo-vai)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af6.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/tui-xach-da)
00:48:07	0/-1	---M--	302	error ('')			http://hmbfashion.com/checkout	D:/thu_doc/template/demo/hmbfashion.com/checkout.1af7.delayed	(from http://hmbfashion.com/collections/vi-cam-tay?sortby=price-desc/tui-xach-thoi-trang)
